source_code,source_record_id,gid,ward_name,county_name,subcounty_name,dhis2_uid,dhis2_cuid,dhis2_scuid,population_2009,vintage,modified_at,source_status
HDX_ARC_WARDS_1450,QIMIjxzpGyb,1792,Flamingo Ward,Nakuru,Nakuru East  Sub County,QIMIjxzpGyb,ob6SxuRcqU4,FBJ9Y11esHS,31733.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,sJ50zpy9iBV,1793,Menengai Ward,Nakuru,Nakuru East  Sub County,sJ50zpy9iBV,ob6SxuRcqU4,FBJ9Y11esHS,32926.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,HTbw8gm6kms,781,Tirioko Ward,BARINGO,Tiaty Sub County,HTbw8gm6kms,vvOK1BxTbet,Mk4bMOSMRTB,23669.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,LTWLjOZQMqk,782,Kolowa Ward,BARINGO,Tiaty Sub County,LTWLjOZQMqk,vvOK1BxTbet,Mk4bMOSMRTB,19499.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,XLsFzNATUQ2,783,Ribkwo Ward,BARINGO,Tiaty Sub County,XLsFzNATUQ2,vvOK1BxTbet,Mk4bMOSMRTB,14572.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,k2oUoGgQ9Nd,784,Silale Ward,BARINGO,Tiaty Sub County,k2oUoGgQ9Nd,vvOK1BxTbet,Mk4bMOSMRTB,21947.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,A7kJTCLxqNq,785,Loiyamorok Ward,BARINGO,Tiaty Sub County,A7kJTCLxqNq,vvOK1BxTbet,Mk4bMOSMRTB,13885.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,LMCJ2zXfHyL,1813,Kongowea Ward,Mombasa,Nyali  Sub County,LMCJ2zXfHyL,wsBsC6gjHvn,sr8WEz03EnP,33417.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,OhvgVomhsMZ,814,Marmanet Ward,LAIKIPIA,Laikipia West Sub County,OhvgVomhsMZ,xuFdFy6t9AH,pXbWrnFPpKb,42629.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,q38k1nKzsRS,815,Igwamiti Ward,LAIKIPIA,Laikipia West Sub County,q38k1nKzsRS,xuFdFy6t9AH,pXbWrnFPpKb,69491.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,vU9560o42tL,816,Salama Ward,LAIKIPIA,Laikipia West Sub County,vU9560o42tL,xuFdFy6t9AH,pXbWrnFPpKb,23876.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,pxHH7AAkfR6,817,Ngobit Ward,LAIKIPIA,Laikipia East Sub County,pxHH7AAkfR6,xuFdFy6t9AH,pF6qPMIlHte,23978.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,ccNXklFrzuP,818,Tigithi Ward,LAIKIPIA,Laikipia East Sub County,ccNXklFrzuP,xuFdFy6t9AH,pF6qPMIlHte,27062.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,AMlucMGQuxK,819,Thingithu Ward,LAIKIPIA,Laikipia East Sub County,AMlucMGQuxK,xuFdFy6t9AH,pF6qPMIlHte,20836.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,DpYpJ6E1vRc,820,Nanyuki Ward,LAIKIPIA,Laikipia East Sub County,DpYpJ6E1vRc,xuFdFy6t9AH,pF6qPMIlHte,28485.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
HDX_ARC_WARDS_1450,oLZDP6nDlYc,1821,Tudor Ward,Mombasa,Mvita  Sub County,oLZDP6nDlYc,wsBsC6gjHvn,C1xuoa1NAMm,32100.0,2016-03-31,2019-04-12,historical_crosswalk_baseline
